tweet,sentiment,sentiment_score,annotator,annotator_score,directness,directness_score,group,group_score,target,target_score
@user وهل يوجد ابشع من هاؤلاء هُم المتأمرون ع اليمن وشعب اليمن هُم من تأمرو ع ليبيا العراق سوريا فلسطين السودان… @url,normal,5,indifference,6,direct,1,other,1,origin,1
@user @user @user بول البعير اطهر واشرف من حثالة الشيعه واتباعهم,hateful,1,disgust,0,direct,1,other,1,religion,3
@user يخي قلعتهم لسانهم وسخ ماهموني وماتفرحت بالي صار لهم,offensive,2,disgust,0,indirect,0,other,1,other,0
@user @user هم اللى بيحوروا المواضيع .. تتكلم عن الأمن يقول لك امنعوا المتبرجه.. طيب ده دخله ايه ب… @url,normal,5,disgust,0,indirect,0,other,1,other,0
@user @user انت اكلتها يا خنزير,offensive,2,disgust,0,direct,1,individual,0,other,0
@user @user العجوز هذي عندها مشكلة في فهم الدين ونصوص الشريعة ولا بوصلتها العقلية والدينية منحرفة عن… @url,disrespectful,3,indifference,6,direct,1,individual,0,gender,2
@user ما شاءالله صنضويطشتك محجبة مافي خوف عليها من التحرش,normal,5,indifference,6,indirect,0,women,2,other,0
@user @user @user @user عادي انا بسمع عندكم نسبة التحرش عالية وبدون زعل,normal,5,indifference,6,direct,1,women,2,other,0
@user ونطالب الزعيم السيسي بالشراسة فى التعامل مع خنازير حسن البنا وكلاب قطراءيل وتركاءيل واعدامهم وقتلهم أينما وجدوا,hateful,1,shock,1,direct,1,other,1,origin,1
موتوا بغيظكم يا خنازير قطر. @url,hateful,1,anger,2,direct,1,other,1,origin,1
؛ متحنش لحد باعك يا وسخ.,abusive,0,sadness,3,direct,1,individual,0,other,0
والكلاب السود والخنازير تاكلنا,abusive,0,shock,1,indirect,0,other,1,origin,1
@user @user @user ههههههههع مصدق نفس هوه الي واجه الجيش العراقي  يا شارب بول البعير ما تسترجي على گولت اخوانا السوريين,abusive,0,shock,1,direct,1,individual,0,other,0
أو شارب بول البعير,disrespectful,3,indifference,6,indirect,0,individual,0,other,0
@user @user @user تشرفنا يا خنزير .. علي الأقل ننال شرف القضاء علي ارهابي نجس مثلك ونريح العال… @url,hateful,1,indifference,6,direct,1,individual,0,other,0
ياريت اربع سنين بنقول الكلام ومفيش حد سامع السجون عماله تعلف في خنازير الاخوان وهما يخططوا والكلاب الي بره تنفذ @url,abusive,0,indifference,6,indirect,0,other,1,other,0
@user هههه وانا من جنوب افريقيا انا العربي ولد الإعراب و بعد تعالي عطيني اصلك اذا انتي صادقه عربيه,normal,5,indifference,6,direct,1,individual,0,other,0
@user لايهمك خرابيط الي تشرب دافي وينظف،، سوي تنظيف بالعكس ممتاز لصحة ارحامك .. عندنا خرافات الحريم مابعد بطلوها,disrespectful,3,anger,2,direct,1,women,2,gender,2
@user يا مرآة مسلمة يا عورة اي فرج خرق يا ناقصة عقل يا كلبة يا حمارة يا نص الورث و نص الشهادة يا ضلعة عو… @url,hateful,1,shock,1,direct,1,women,2,gender,2
@user يلا يا بتوع بول البعير يا شواذ يا ولاد الوسخة يللي نسونكم بيتركبوا من الهنود وبنغال ياض دة جددودنا كانوا… @user,offensive,2,anger,2,direct,1,other,1,origin,1
@user @user الا خنازير قطر يقولون ايران دوله شريفه و خليفة الشواذ المتحالف معهم,hateful,1,shock,1,direct,1,other,1,origin,1
@user @user @user @user لم اشتم الا اعداء #وطني خنازير #الفرس ولي الشرف بذالك في حال بادر بذالك… @url,hateful,1,anger,2,indirect,0,other,1,origin,1
@user @user @user الله يلعنك ويلعن حاكمك .فلسطين ياكلب وقف اسلامي ومش محتاجه خنازير زي شكلك . ارض الحرمي… @url,hateful,1,anger,2,direct,1,individual,0,origin,1
الحلانا من قضية التحرش يحلنا من الدعم السريع,normal,5,sadness,3,indirect,0,other,1,other,0
ولا على حسابج ما حب عرس انا  وادخل صاله الحريم وويهي يقلب الوان غير العادات و التقاليد الغير مرغوب فيها بص… @url,normal,5,indifference,6,indirect,0,women,2,other,0
من كلام الناس وعيون الحريم,normal,5,indifference,6,direct,1,other,1,other,0
زيدي ناقص اصلك مجوسي من بلاد السد @url,hateful,1,shock,1,direct,1,individual,0,origin,1
@user @user @user لانكم خنازير واتباع هوا وخونه للإسلام,hateful,1,anger,2,indirect,0,other,1,other,0
لاجيت أعاتبك طيّحت الحطب كلّه,offensive,2,indifference,6,indirect,0,individual,0,other,0
@user وين الغلط بالموضوع كلامة واقعي ماحد يعطي ابتكم وجة ي الحريم,normal,5,indifference,6,indirect,0,women,2,origin,1
@user @user هذا ما يوجد فالسعدوية لذلك أنصحك أخي بعدم المغامرة والذهاب إلى بلاد بول البعير @user,abusive,0,indifference,6,indirect,0,other,1,other,0
@user @user حرام عليكي يا دكتور معندكيش خنازير صغيرة,disrespectful,3,indifference,6,indirect,0,other,1,other,0
@user كلب خنزير اش من بطل,offensive,2,anger,2,indirect,0,individual,0,other,0
لا تتصارع أبداً مع خنزير فتتسخ وبالاضافه الى ذلك هو سيحب ذلك !,disrespectful,3,shock,1,direct,1,other,1,other,0
موتوا بغيظكم يا خنازير قطر. @url,hateful,1,disgust,0,direct,1,other,1,origin,1
تجسس محارم ديوث دياثة ديوثة كلوت كلو… @url,normal,5,indifference,6,indirect,0,other,1,other,0
@user @user خنزير صادق افضل من خنزير عميل ياخميني الخنازير لكن مت بغيظك انت امام السعودية العظمى,offensive,2,disgust,0,indirect,0,individual,0,religion,3
@user @user الله يلعن ابوك على ابو حكامكم عبيد الصهاينه يا خنزير,hateful,1,shock,1,direct,1,individual,0,origin,1
اذا كانوا اخوات او صحاب او اب وابنه مفيش حاجة تكره راجلين في بعض غير الحريم,normal,5,shock,1,indirect,0,women,2,gender,2
___ أنقطع وصله ولا أدريّ ويش حده والله أن فقده من كبار الخساااير / وديّ أعرف من وقف ضديّ وضده العواذل بايره والوقت باااير ..,disrespectful,3,shock,1,indirect,0,other,1,other,0
@user @user @user حتة نادرا كتلوا خنازير خميني,hateful,1,disgust,0,indirect,0,other,1,other,0
@user هندوس علي الاتنين واللي مش عاجبة يروح @url,disrespectful,3,shock,1,indirect,0,other,1,other,0
@user لولا الغرب أقسم بالله لو بقيتم في الصحراء و تشربون بول البعير، لكن الحمد لله رزقكم الله النفط من أجل مساعدة… @url,offensive,2,indifference,6,direct,1,other,1,origin,1
@user @user حرام عليكي يا دكتور معندكيش خنازير صغيرة,offensive,2,indifference,6,indirect,0,other,1,other,0
يجعلون عطر المرأة وصوت كعبها وخلخالها ولباسها سبباً في التحرش او حتى الإغتصاب ولم نرى هذا التبرير لسارق الخبز الجائ… @url,normal,5,indifference,6,direct,1,women,2,other,0
@user @user هذا الخنزير الضعيف الي تتكلمين عنه تعالي شوفي لين يكون مع مجموعه خنازير صهاينه ومعهم قو… @url,hateful,1,indifference,6,direct,1,individual,0,origin,1
@user @user لا نظرتهم دايم بالمتحرش ، مبعدين كل النظر عن وش اسباب التحرش و ليش تحرش ، ما ابرر له ولا لغيره لكن… @url,abusive,0,disgust,0,indirect,0,other,1,other,0
وانا بقترح مع فرع مكافحة التحرش يضيفوا فرع مكافحة المياعه.,normal,5,sadness,3,indirect,0,other,1,other,0
عرفت اليوم ليش سيئ طلع ذكرى ميلاد خنزير البرتغال,hateful,1,shock,1,indirect,0,other,1,origin,1
@user @user @user يا كلب يا خنزير  العراقيين تاج راسك يا مخنث,hateful,1,disgust,0,direct,1,individual,0,origin,1
ماشايفو قال حاجه غلط حوادث التحرش بتحصل كتير في المجال دا والطبيب في الاخير انسان زينا وممكن يتمادى ف الززل لو لقى… @url,offensive,2,indifference,6,indirect,0,women,2,other,0
#السعودية مملكة التنابل-بول البعير @user,normal,5,shock,1,direct,1,other,1,origin,1
وإن رأيت بعلا وزوجته متبرجه,disrespectful,3,indifference,6,indirect,0,individual,0,other,0
لا تعشقي وهابيا سيحدثك في ليالي الرومانسية عن الجن و القبر و بول البعير ...,disrespectful,3,disgust,0,indirect,0,women,2,other,0
بتكون خنزير وتافه وفاشل اذا بتوصل عمر ٢٣ وبعدك قاعد عند اهلك,disrespectful,3,indifference,6,indirect,0,individual,0,other,0
@user مافي فرق بينكم كلكم خنازير,hateful,1,shock,1,indirect,0,other,1,other,0
وكان إثنا عشر صوتا يصرخ في غضب وكلها متشابهة لا حاجة للسؤال الآن عما قد حدث لوجوه الخنازير وتتطلع الكائنات في الخار… @url,offensive,2,shock,1,indirect,0,other,1,other,0
النايض ما عجبتش نزلت الدولار كيف عاد هكي بتقطعوا علية الاستمتاع  بمعاناة الليبيين واستمتاع خنازير الإمارات… @url,abusive,0,disgust,0,direct,1,other,1,origin,1
وفيهم سلع بايره لاحرجوا بالحراج,offensive,2,indifference,6,indirect,0,women,2,gender,2
@user لأفضل متبرجة اسلامية عربية عريانة فضحتنى,offensive,2,sadness,3,indirect,0,women,2,gender,2
من إشاعات الاغتصابات في السجون واللاجئين الأفارقة إلى حكاية اللانجوس والمقويات الجنسية والترويج لها إعلاميا..,normal,5,shock,1,indirect,0,other,1,origin,1
@user @user @user @user اولا هم ليسوا جرب الا ان كنت فارسي,offensive,2,sadness,3,indirect,0,other,1,origin,1
@user يازينه من وسخ هاتها,offensive,2,shock,1,indirect,0,other,1,other,0
اليوم كان عندي محاضرة عن نظام التحرش ووحده تناقش الدكتورة قالت لها ممكن تكون البنت جنت على نفسها بالتبرج وكل القاعه… @url,normal,5,indifference,6,indirect,0,women,2,other,0
فعلا احاسيس خنزير يا اميرتي انا احبك يا مستقبل الامارات وبعدين تعالي اخطفيني هالحياه تعبتني @url,hateful,1,disgust,0,indirect,0,individual,0,gender,2
ان شاء الله يودعوا مش ناقصة خنازير,offensive,2,shock,1,indirect,0,other,1,other,0
حاسه اني أرملة او مطلقة او بايرة حاجة في الرينج دا مش فاهمة,normal,5,sadness,3,indirect,0,individual,0,other,0
زي كل مذبحة يطلع أشباه بشر برؤوس خنازير تصقف لقتل أبرياء لا حول لهم و لا قوة و يشمتوا في دمهم,hateful,1,indifference,6,indirect,0,other,1,other,0
والهاش يكون ترند من اول اليوم #افريقيا_يا_اهلي,normal,5,indifference,6,direct,1,african_descent,3,other,0
لفتتني ثقافة مجتمع أراده حاكمُه داعشيا:اطلق شبيحة النظام السوري علي شائعة اغتصاب.قام النظام السعودي بتكراره مع كمّ… @url,hateful,1,disgust,0,direct,1,other,1,origin,1
يا بايرات,disrespectful,3,disgust,0,direct,1,women,2,gender,2
ياخي اللاعبين الافارقة على اخر ايامهم يبدون يتشرطون ..,abusive,0,indifference,6,direct,1,african_descent,3,origin,1
ما فى شركات كتير بتعمل لحم خنازير وتك… @url,disrespectful,3,sadness,3,indirect,0,other,1,other,0
تم عقد الاجتماع الأول لطلاب التوعية بمدرسة سعد بن معاذ الابتدائية،  والذي هدف إلى بيان أهداف الجمعية من تنمية مهارا… @url,normal,5,indifference,6,indirect,0,other,1,other,0
الظاهر ان الدختر قاع يعاني من موجة عالية من التحرش والشاهد (يحليلة),offensive,2,indifference,6,indirect,0,individual,0,other,0
@user مو مشكله نشرب بول البعير بس ما ننهان من العالم يا ولد القحبه,offensive,2,shock,1,indirect,0,other,1,origin,1
#تويته_حلوه_منك توتير صار قذر جدا كأني في حظيرة خنازير تلعب بطين من,offensive,2,indifference,6,indirect,0,other,1,other,0
ترمب يدافع عن كافانا: إدعاءات التحرش هدفها سياسي,normal,5,indifference,6,indirect,0,individual,0,other,0
@user @user كل الكلام اللي قاله هذا الكائن صحيح لكنه عندما يتحدث عن المصريين فهو يقصد خنازير النظام و… @url,abusive,0,indifference,6,indirect,0,other,1,other,0
من الكلاب النابحة المرتزقة اراذل خنازير الع… @url,hateful,1,shock,1,direct,1,other,1,origin,1
@user @user احنا الغجر يا بدو؟  يا راعية الابل لا تكثرين من شرب بول البعير... ما حدا طايقكن هالايام مشكل… @url,offensive,2,shock,1,direct,1,individual,0,other,0
يواصل مركز #أمان #حملة_لا_تلمسني لتوعية الأطفال ضد التحرش. @url,normal,5,indifference,6,indirect,0,other,1,other,0
ويهربون خنازير الوهابية الذين فجروا فنادق بيروت يا فرخ. @url,hateful,1,anger,2,direct,1,other,1,other,0
@user @user كس امك ياعار هيه عاهره صاقطه شجاب ذولى عليهم بس انته جماعة #بول_البعير_تموتون_من_الشيعه ي… @url,abusive,0,disgust,0,direct,1,individual,0,other,0
طبعا التويته ودوها الفيس و تقريبا 90% من تعليقاتهم اني زولة بايره و فاكه العلاقه شنو ما عارفه و كميه شتايم كفيلة بإ… @url,normal,5,confusion,5,indirect,0,other,1,other,0
حجة مبرراتية حماس فى دفاعها عن كفرة نظام إيران و سفاحين الشيعة هو إن مفيش بديل والكل طعن غزة وإيران الوحيدة اللى بت… @url,hateful,1,anger,2,indirect,0,other,1,origin,1
الله. ليشفايهن  قال  لولاد. منو. من. ضهرك. كل مجن. فرحلو  هد بهيم  احفد. روعات  دجاج. ولخنزير. لمجوس  قال لمتال  يا… @url,abusive,0,shock,1,indirect,0,other,1,origin,1
اصلها مش زراير هندوس عليها عشان نلاقي روحنا نسينا حد و عرفنا نلاقي حد غيره .. يا رتها كانت كدة,normal,5,shock,1,indirect,0,other,1,other,0
#في_بلادك_تقدري تعيشي بلا ما تسمعي : عورة ، بلاصتك فالكوزينة ، مسطاشة ، عاهرة ،  بايرة ...,disrespectful,3,sadness,3,direct,1,women,2,gender,2
@user @user  نور قوليلها انها بايرة عشان إللى بتعملوا فينا ده كتير اوى والله,fearful,4,sadness,3,direct,1,individual,0,gender,2
من هذا السفور المُزري والتبرج،،,normal,5,shock,1,indirect,0,women,2,gender,2
لأنه مواظب على شرب بول البعير...,disrespectful,3,indifference,6,direct,1,individual,0,origin,1
@user @user لو ما عاجبتك عندك ١٠٠٠ قناة عربية تتكلم عن فوائد شرب بول البعير و لقاءات مع شيوخ على… @user,normal,5,sadness,3,direct,1,individual,0,other,0
بعد ساعة وربع يحق لجميع الاشخاص التحرش فيني ولن يكونوا عرضة للقانون بما اني بأكمل 18,abusive,0,shock,1,direct,1,women,2,other,0
ما بدي كون متطفّل، أعتقد أنّهم يأكلون الضّبّ ويتعاطون بول البعير، وكفى ذلك شحار وتعتير. @url,hateful,1,disgust,0,indirect,0,other,1,other,0
@user نعم وأسلافنا سلموا أمر دينهم ورسالته لمجموعة من الجهلة والمغفلين فساقوا البشرية إلى شرب بول البعير,normal,5,indifference,6,indirect,0,other,1,other,0
طبيعي يا عالم يا وسخ من ايام الفارابي للأن محد قدر يسوي هالمدينه الصغيره الجميله؟,offensive,2,anger,2,indirect,0,other,1,other,0
ما الفائدة من صورة فتآة متبرجة كاشفة الوجه  عارية الساقين او  الذراعين تضعينها صورة صفحتك الشخصية,offensive,2,anger,2,direct,1,women,2,origin,1
أنت تروّج لشخصيات منحرفة بداعي أنها أحسنت في جزئية ما!! وماذا عن بقية سيرت… @url,normal,5,disgust,0,direct,1,individual,0,other,0
@user يمشي بخطا ادارتها قيد من الأمريكان ونهب اسرائيل و تجاهل العرب وضغط أوروبي.  هو لا يطبق مايتكلم. له اتجاهات منحرفة,normal,5,sadness,3,direct,1,other,1,origin,1
@user @user نحن لا نشرب بول البعير . لأنه كان حالة خاصة لعلاج مرض .كما ان بعض علماء الاسلام يحرمون شربه… @user,normal,5,indifference,6,indirect,0,other,1,other,0
للى بيقولوا لبس البنت سبب التحرش,normal,5,shock,1,direct,1,women,2,gender,2
@user و انت معتنق دين بول البعير,hateful,1,shock,1,direct,1,individual,0,other,0
@user @user @user @user غالبا يكون كلامه بيرفكت وهي ماتعرف انه ينظر لها بدونية ويعتبرها منحرفة و… @url,disrespectful,3,indifference,6,direct,1,individual,0,other,0
تركى آل شيخ وهو بيشتم دكتور محمد العدل ومفيش وسخ من اللى طالعين يدافعوا عنه نطق كلمة,abusive,0,shock,1,direct,1,individual,0,origin,1
@user @user هسه اني ليش متعب نفسي ويه وحده تامن في بول البعير شفاء للمريض,abusive,0,disgust,0,direct,1,other,1,other,0
@user هل تفكر بأن شرب بول البعير ليس بحلال وأنها نجسة ومكروهة ينفر منها الحيوان قبل الانسان؟ فانت كافر زند… @user,offensive,2,shock,1,indirect,0,individual,0,religion,3
لم تكوني بتتونسي مع صحباتك وهم متزوجات وانتي بايره  @url,disrespectful,3,shock,1,direct,1,women,2,other,0
@user @user خنزير فاجر يقتل القتيل ويمشي في جنازته امتا يارب النجاه من الفاسد الإرهابي ده اللي بيتحكم في المصريين غصب عنهم,hateful,1,shock,1,direct,1,individual,0,origin,1
@user @user السعودية لو أرادت التطبيع لفعلت ذلك يا خنزير,disrespectful,3,shock,1,direct,1,individual,0,other,0
فيها باقي بعد مو انتي فصلتيني بس اكثر شي عجبني التحرش بخلق الله @url,offensive,2,indifference,6,indirect,0,individual,0,other,0
بص ياحياتها من امبارح وبنقول الصوره مفبركه والاستدلال فاسد ومافيش فايده فى عقل الخنزير اللى انت حاطه وعاوز تقارن ها… @url,normal,5,anger,2,direct,1,individual,0,other,0
@user وحجر وسيري سايره ولا تكوني بايره,offensive,2,sadness,3,indirect,0,women,2,gender,2
@user @user انتم سبب دمار الدول وتخلفها يا شاربي بول البعير .ايران قريبه منكم يا جبنإ,hateful,1,disgust,0,direct,1,other,1,origin,1
@user @user @user اكيد شارب بول البعير مبين من كلامك لان هذه القاذورات التي تتلفض بها اس… @url,offensive,2,sadness,3,indirect,0,individual,0,other,0
@user ويتهمون اهل الجزيره بالهمجيه والتخلف وشرب بول البعير وهم يضاهون العالم بهمجيتهم ووحشيتهم,abusive,0,disgust,0,direct,1,other,1,other,0
@user @user @user @user وسوف ندعسكم دعس وموتوا بغيظكم يا خنازير,hateful,1,indifference,6,direct,1,other,1,other,0
ليفربول يلعن ابو القذارة اللي فيكم يا خنازير,abusive,0,indifference,6,indirect,0,other,1,other,0
شاهد: داعية مصري يكشف سبب التحرش بالفتيات.. لأن شنطتك ذهبي يطمع فيك! @url,offensive,2,indifference,6,indirect,0,women,2,other,0
خنزير آدمي يدعي الامانه ويصلي صلاة الجماعه يدعي الأخلاق الحميده يساعد الناس,abusive,0,shock,1,indirect,0,individual,0,religion,3
زي كل مذبحة يطلع أشباه بشر برؤوس خنازير تصقف لقتل أبرياء لا حول لهم و لا قوة و يشمتوا في دمهم,hateful,1,sadness,3,indirect,0,other,1,other,0
@user يا شرق سلوي.... اتقي الله يعني اذا كان زعمائك خنازير وكلاب مش قادرة تصدقي هالحكي،،،،، والله انا فلسطين… @url,hateful,1,shock,1,indirect,0,individual,0,other,0
@user @user هو ازاي سمير ب دقن وحسناء متبرجه,abusive,0,anger,2,indirect,0,individual,0,gender,2
@user @user في حريم مستعجلات على بالها سواقة السيارة مثل سواقة الدراجة,abusive,0,confusion,5,direct,1,women,2,gender,2
*عاوز تسيب تجارة إنجلش اللى دفعنا فيها دم قلبنا و تروح تكتب افلام للسبكى و تساعد على إنتشار البلطجة و التحرش يا خول؟ @url,offensive,2,disgust,0,direct,1,individual,0,other,0
@user لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي,normal,5,indifference,6,direct,1,women,2,gender,2
لا تحاولين تلميع ملتكم النجسة,disrespectful,3,disgust,0,indirect,0,other,1,other,0
لعل هذا الامر يظهر حالة المجتمع الذكوري اللي دابحينا فيها كل ما دق الكوز بالجرة.. اما ظاهرة التحرش او الاغتصاب بأي… @url,offensive,2,indifference,6,direct,1,women,2,gender,2
انت خنزير جرار ساقط,disrespectful,3,indifference,6,direct,1,individual,0,other,0
@user يا راجل هو احنا شفنا التحرش والفضايح دي كلها الا بعد ما ستات مصر اتحجبت واتنقبت .. بلا قرف,disrespectful,3,anger,2,indirect,0,other,1,other,0
جنوب سوريا ثواراحرار,normal,5,indifference,6,indirect,0,other,1,other,0
يابن الكلب ي وسخ انتا,offensive,2,shock,1,indirect,0,individual,0,other,0
فيه واحد خنزير قاعد يعاطس على جهتي وجا شوي بلغم على طاولتي @url,hateful,1,indifference,6,indirect,0,individual,0,other,0
فيه نوعية كلاب مسعورة هذه نظرتها في كل مجتمع وكل دولة,offensive,2,shock,1,indirect,0,other,1,other,0
@user @user @user يعني ناكل خنزير عادي علشان ربنا خلقه وبعدها حرمه ونشرب خمر ونزني وكل شي والله فله .… @url,normal,5,sadness,3,indirect,0,other,1,other,0
@user هاذ خنزير خاين وكلب من خان بلده يعتبر خنزير مشررد لعنه الله,hateful,1,disgust,0,indirect,0,individual,0,other,0
